ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
3.554761833520154318e-02,7.896215664889295605e-01,1.202892804490662160e+00,1.205136323587456149e+00,1.202709222162869240e+00,1.203060293562447258e+00,1.187603019190194509e+00,1.194435500435292674e+00
3.553271717223133869e-02,7.895762669535001388e-01,1.202984595654558619e+00,1.204934263817580176e+00,1.202533984486339635e+00,1.203082943330161969e+00,1.191858195287966105e+00,1.194245957642311673e+00
3.552437252096802417e-02,7.892663227637198853e-01,1.202918434490970911e+00,1.204146886366234570e+00,1.203019762399168302e+00,1.203031087283025657e+00,1.189934753171772108e+00,1.192569278784904263e+00
3.531873647197919519e-02,7.894808995104908300e-01,1.202947640770392512e+00,1.204669619163229344e+00,1.203131223098185432e+00,1.203046584492514670e+00,1.191358112258686042e+00,1.193897270428808888e+00
3.540516321720638820e-02,7.891620146229284538e-01,1.203085327516237202e+00,1.204775715443577200e+00,1.203138971702929938e+00,1.203040027980807780e+00,1.191496991097568348e+00,1.193466328795710574e+00
3.527284089003096534e-02,7.900846946340435162e-01,1.203073406585861038e+00,1.204615378930017799e+00,1.203066850074154148e+00,1.203051948911183944e+00,1.188667558272785918e+00,1.193754219264294925e+00
3.553569740482537959e-02,7.894564616032196946e-01,1.197874688848816094e+00,1.204942608468843490e+00,1.203123474493440925e+00,1.203023338678281151e+00,1.191906475055989567e+00,1.193075322279372408e+00
3.553867763741942049e-02,7.899470078881988266e-01,1.202767634721712442e+00,1.205024266841920211e+00,1.203137183563373513e+00,1.203138375656411130e+00,1.200676703533733347e+00,1.193678521356406286e+00
3.553688949786299595e-02,7.890845285754833904e-01,1.202371859833223811e+00,1.204994464515979802e+00,1.203104997051357872e+00,1.202951813096024170e+00,1.200773859116299080e+00,1.193133138791696801e+00
3.553450531178776323e-02,7.898599850964528324e-01,1.202852869373902012e+00,1.205132151261824491e+00,1.202380800531005933e+00,1.202851081234345587e+00,1.200623655393559419e+00,1.187676332912007915e+00
3.551721996274232601e-02,7.889921413650681226e-01,1.202964330072919141e+00,1.204862142188804386e+00,1.202930355421347075e+00,1.202933335653941116e+00,1.200626635626153460e+00,1.185016773345085817e+00
3.555179066083320044e-02,7.897926318398275081e-01,1.203051352864665136e+00,1.205099368703290041e+00,1.203072810539342230e+00,1.203112745656102378e+00,1.200629019812228693e+00,1.188937567345806023e+00
3.552318042793040781e-02,7.888133274094256686e-01,1.203024530771318767e+00,1.205055261260898236e+00,1.203149104493749677e+00,1.203091884027944092e+00,1.200838232140330364e+00,1.202273512157620461e+00
3.552020019533636691e-02,7.896185862563355196e-01,1.202823067047961603e+00,1.204843664746721332e+00,1.202993536352340742e+00,1.203125262632997350e+00,1.200583720276799271e+00,1.203254604727578725e+00
3.552735275356206507e-02,7.883782134506956973e-01,1.203115129842177611e+00,1.205074930796018906e+00,1.197363876982197484e+00,1.203083539376680777e+00,1.200409674693307283e+00,1.203169966121907963e+00
3.551841205577994237e-02,7.893241392760442787e-01,1.202740812628366074e+00,1.205001617074205500e+00,1.202950024956467745e+00,1.203133011237741856e+00,1.200224304225957939e+00,1.201526069823035003e+00
3.550470298584735424e-02,7.881201253080517555e-01,1.202457690531932188e+00,1.205092812191583151e+00,1.203085327516237202e+00,1.203146124261155636e+00,1.200698161208410442e+00,1.201452160054702789e+00
3.555119461431439226e-02,7.888669715961184048e-01,1.202781939838163838e+00,1.205042744284003264e+00,1.202924991002677801e+00,1.203030491236506849e+00,1.203080559144086736e+00,1.202766442628674826e+00
3.554463810260750228e-02,7.878775343748968263e-01,1.203037643794732547e+00,1.205043936377040881e+00,1.201731109825505017e+00,1.202833199838781342e+00,1.203239107518089712e+00,1.203150296586787293e+00
3.551960414881755873e-02,7.884431825212457889e-01,1.202710414255906857e+00,1.204151058691866227e+00,1.202964926119437949e+00,1.203019762399168302e+00,1.202976847049814113e+00,1.202024960759277450e+00
3.553629345134418777e-02,7.874686464629944149e-01,1.203071618446304614e+00,1.205116058005816670e+00,1.203087115655793626e+00,1.202614450766378740e+00,1.203049564725108711e+00,1.202913070072301638e+00
3.540039484505592277e-02,7.878995880960927289e-01,1.203085327516237202e+00,1.205077314982094139e+00,1.202834391931818958e+00,1.202955389375137019e+00,1.203156257051975375e+00,1.202193045877581357e+00
3.540039484505592277e-02,7.872516855301482375e-01,1.202309870995267760e+00,1.204816842653374964e+00,1.203084731469718394e+00,1.203118110074771652e+00,1.203085327516237202e+00,1.203204536819998838e+00
3.540516321720638820e-02,7.874227508810461851e-01,1.202784920070757879e+00,1.204381132648126185e+00,1.203013205887461412e+00,1.203027511003912808e+00,1.203236127285495671e+00,1.203101420772245023e+00
3.553212112571253051e-02,7.867748483151016936e-01,1.203293347751301257e+00,1.204223180320642017e+00,1.203145528214636828e+00,1.203144336121599212e+00,1.203131819144704240e+00,1.201028967026348981e+00
3.553688949786299595e-02,7.867647155242819546e-01,1.202325368204756773e+00,1.204815650560337348e+00,1.203031087283025657e+00,1.203115129842177611e+00,1.203192615889622674e+00,1.203186655424434592e+00
3.553808159090061231e-02,7.865006669164499309e-01,1.202585244486957139e+00,1.204314375438019669e+00,1.202984595654558619e+00,1.203101420772245023e+00,1.203020954492205918e+00,1.203278446588331052e+00
3.553748554438180413e-02,7.861537678425035702e-01,1.202973270770701264e+00,1.204146290319715762e+00,1.201635742382495708e+00,1.203153276819381334e+00,1.203127646819072583e+00,1.203256392867135149e+00
3.555000252127677590e-02,7.862294657503922091e-01,1.202855253559977244e+00,1.204955721492257270e+00,1.202880883560285996e+00,1.203154468912418951e+00,1.202423715880360122e+00,1.203166985889313922e+00
3.554940647475796772e-02,7.857633573726842124e-01,1.202504778206918035e+00,1.205049896842228963e+00,1.203112745656102378e+00,1.203065657981116532e+00,1.203087711702312435e+00,1.202664518673958627e+00
3.552556461400564053e-02,7.858670694669568357e-01,1.202789688442908345e+00,1.205111289633666205e+00,1.203084731469718394e+00,1.202851081234345587e+00,1.203131223098185432e+00,1.201727533546392168e+00
