ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
9.081942329638282629e+00,1.982378850266796348e+02,3.076852205616498850e+02,3.079435584477852217e+02,3.078209719444479902e+02,3.079956791395758273e+02,3.078242949037903600e+02,3.071268495472490372e+02
9.081331381956504245e+00,1.982332400361585769e+02,3.077031544093077855e+02,3.079312804855442209e+02,3.078296021019938280e+02,3.079826018789532327e+02,3.078269151242869839e+02,3.070898916828503502e+02
9.081220517304005924e+00,1.982140980022070380e+02,3.076850202900195654e+02,3.079348311346568039e+02,3.078386030004743361e+02,3.079701379501984206e+02,3.078287718091930856e+02,3.070472308453596497e+02
9.081958422894290450e+00,1.982306824005463568e+02,3.077053848153811373e+02,3.079283705864394278e+02,3.078192159914035528e+02,3.079991272686871753e+02,3.078329250613361410e+02,3.070929035059098169e+02
9.081394562887497912e+00,1.982441745095460988e+02,3.076913354028863523e+02,3.079169014593245493e+02,3.078395846890907706e+02,3.080020413401176143e+02,3.078192708276832832e+02,3.070891329156318648e+02
9.081657419402292319e+00,1.982339928429118174e+02,3.076792851304155647e+02,3.079135868446334143e+02,3.078196999811768819e+02,3.079934856883866132e+02,3.078204921270003638e+02,3.070844688516221481e+02
9.081745038240555346e+00,1.982604579043934336e+02,3.076758411736299195e+02,3.078935245148568924e+02,3.078255787879918444e+02,3.079844317417659454e+02,3.078142902629721220e+02,3.070495554267830016e+02
9.082119951500887467e+00,1.982461188132904510e+02,3.076694598995995307e+02,3.079298028862241381e+02,3.078174069902189558e+02,3.079910871971949291e+02,3.078193483137307567e+02,3.070704289758716641e+02
9.081882724986401811e+00,1.981955460543091476e+02,3.076833513597669025e+02,3.079211614037944287e+02,3.078205618644430501e+02,3.079749957293266789e+02,3.077883622394039662e+02,3.070716604079795502e+02
9.080516586365293463e+00,1.982165215273525121e+02,3.076872697695815759e+02,3.079132977620718066e+02,3.078331879178509780e+02,3.079833016375662851e+02,3.077982750890582793e+02,3.070595380138800010e+02
9.081130514279665888e+00,1.982396201180958997e+02,3.076724633780078193e+02,3.079237857966167553e+02,3.078041962151761481e+02,3.079779443714552372e+02,3.077969202753209856e+02,3.070596238445787094e+02
9.081209788466667376e+00,1.982085505972564761e+02,3.077166721483077936e+02,3.079010823847153233e+02,3.078457454259092287e+02,3.079873076662191806e+02,3.078006324530401798e+02,3.070510097802888936e+02
9.081631193355464760e+00,1.982072839984040229e+02,3.077121779575560367e+02,3.079093257080704689e+02,3.078333428899458681e+02,3.079965809579588267e+02,3.078019938232891377e+02,3.070306285656247383e+02
9.080981502649963844e+00,1.982226768997522299e+02,3.077005937934629287e+02,3.079192534588877379e+02,3.078152636069373784e+02,3.080010405780125211e+02,3.077815017439725125e+02,3.070407482434210920e+02
9.081115613116693908e+00,1.982097325575032869e+02,3.076993748783319802e+02,3.079076686987482390e+02,3.077987650392967680e+02,3.080150852221352125e+02,3.077932367078348079e+02,3.070162143726604427e+02
9.082236776618573870e+00,1.982274637493447926e+02,3.077349284571324119e+02,3.078968868132694752e+02,3.078032586340020771e+02,3.080203340077798089e+02,3.077922067394503074e+02,3.070456715876664475e+02
9.082077036151533278e+00,1.981840352039379241e+02,3.077116957559222783e+02,3.078835943798534913e+02,3.077993795632576735e+02,3.079945830100277817e+02,3.077779636118368671e+02,3.070291837488632041e+02
9.082288632665710182e+00,1.982287208114529449e+02,3.077116397275495387e+02,3.079355267209442673e+02,3.078317276038798695e+02,3.080070743569224305e+02,3.077819320895590636e+02,3.070433744243829324e+02
9.082040677313885979e+00,1.982513884605632200e+02,3.077204594278882723e+02,3.079030725840416380e+02,3.078402933884016761e+02,3.079936698667609107e+02,3.077753284901772304e+02,3.070924040189270841e+02
9.081748018473151163e+00,1.982250849276882150e+02,3.077337596099090433e+02,3.079140016930105048e+02,3.078128001466751016e+02,3.080142471807297397e+02,3.077875897631156477e+02,3.070400621938779295e+02
9.080968389626550064e+00,1.982182804606295008e+02,3.077368417664577578e+02,3.079024497154294977e+02,3.078283253703505125e+02,3.079928973904725922e+02,3.077917883147940756e+02,3.070109387649224573e+02
9.082462678249202170e+00,1.982703963840480128e+02,3.076709965075250466e+02,3.078993222593452970e+02,3.078104439747862671e+02,3.079769537421409495e+02,3.077901313054718457e+02,3.070376893326865684e+02
9.081939945452207397e+00,1.982592342208902778e+02,3.076948473089751133e+02,3.079007873416885559e+02,3.078242668896039618e+02,3.080021456482584199e+02,3.077711138452426667e+02,3.070369883819804500e+02
9.082443604760600309e+00,1.982290915523876436e+02,3.077033064011700958e+02,3.078995195507430367e+02,3.078111902250278717e+02,3.080070928343644709e+02,3.077828505972445328e+02,3.070171275159272568e+02
9.082171807548023779e+00,1.982262650997954552e+02,3.077073374637767529e+02,3.079049882775531159e+02,3.078391203688526616e+02,3.080099818718411484e+02,3.077745387285398238e+02,3.070068218716170350e+02
